data;local;velocidade_vento;terreno;correnteza;visibilidade;obstaculos;risco
23/12/2021 14:46;0;39;seco;72;20;TRUE;3
17/03/2021 08:38;43;53;seco;57;74;TRUE;3
12/04/2026 16:13;25;16;telhado;67;21;TRUE;4
16/04/2020 16:36;36;24;navegavel;78;96;FALSE;1
06/09/2023 20:00;22;53;navegavel;28;54;TRUE;2
20/06/2020 07:29;11;14;seco;87;60;FALSE;1
09/02/2025 04:57;25;5;asfalto molhado;85;10;FALSE;3
26/03/2020 22:01;21;83;navegavel;92;14;TRUE;4
28/01/2023 22:43;8;81;lama;43;88;TRUE;3
15/07/2022 12:32;5;6;telhado;82;76;FALSE;2
15/05/2021 02:12;0;90;navegavel;28;14;FALSE;2
18/11/2023 12:39;37;1;navegavel;59;97;TRUE;2
12/03/2020 02:41;18;72;navegavel;55;97;FALSE;2
26/09/2024 22:51;45;90;seco;54;42;FALSE;3
17/01/2021 21:31;23;30;asfalto molhado;30;21;FALSE;2
13/09/2023 10:07;30;4;asfalto molhado;43;87;TRUE;2
28/06/2025 18:59;26;19;seco;17;44;FALSE;1
16/05/2025 14:48;47;5;lama;37;68;FALSE;1
14/08/2020 04:16;39;77;lama;7;83;TRUE;3
10/07/2024 20:01;48;7;lama;49;52;FALSE;1
01/06/2024 05:45;32;84;lama;61;7;FALSE;4
28/03/2022 02:50;19;48;telhado;35;14;FALSE;2
21/05/2021 02:57;31;42;lama;43;79;TRUE;2
15/02/2026 21:17;10;34;lama;48;33;FALSE;2
24/11/2025 12:26;23;38;seco;17;48;FALSE;1
14/08/2025 10:43;13;90;telhado;48;12;TRUE;4
06/11/2020 22:59;38;76;lama;26;72;FALSE;2
06/10/2024 05:36;28;35;navegavel;69;68;TRUE;2
07/12/2020 23:56;38;33;asfalto molhado;43;95;FALSE;1
05/03/2026 18:53;15;21;lama;46;89;FALSE;1
26/05/2020 17:50;0;71;asfalto molhado;61;32;TRUE;5
08/01/2023 12:10;29;51;navegavel;34;3;FALSE;2
19/04/2026 20:38;16;88;seco;69;18;FALSE;3
03/04/2021 22:45;42;56;navegavel;86;82;FALSE;2
08/01/2022 13:34;25;34;navegavel;5;82;FALSE;0
16/07/2020 18:05;46;40;navegavel;28;6;FALSE;1
30/12/2023 06:59;43;11;lama;98;63;FALSE;2
10/05/2023 18:49;14;75;seco;99;96;TRUE;3
07/07/2022 02:53;43;12;lama;23;88;FALSE;1
22/01/2022 03:48;4;8;telhado;10;37;FALSE;2
15/07/2024 21:23;1;29;asfalto molhado;99;90;FALSE;2
03/12/2024 04:13;1;31;asfalto molhado;93;2;FALSE;3
08/08/2021 12:44;11;32;navegavel;12;11;TRUE;2
16/05/2022 12:21;2;13;lama;95;11;FALSE;3
