data;local;risco;n_pessoas;origem;espera;vulneraveis;necessita_medico;nivel_aguasentimento;confiavel;prioridade;nivel_agua;sentimento
23/12/2021 14:46;0;3;2;190;104;FALSE;FALSE;;TRUE;3;cintura;panico
17/03/2021 08:38;43;3;5;instagram;115;FALSE;FALSE;;TRUE;2;tornozelo;calmo
12/04/2026 16:13;25;4;2;instagram;78;FALSE;FALSE;;FALSE;2;tornozelo;calmo
16/04/2020 16:36;36;1;1;instagram;30;FALSE;FALSE;;TRUE;0;tornozelo;nervoso
06/09/2023 20:00;22;2;2;instagram;115;FALSE;FALSE;;TRUE;2;tornozelo;panico
20/06/2020 07:29;11;1;7;whatsapp;109;FALSE;FALSE;;FALSE;0;cintura;nervoso
09/02/2025 04:57;25;3;8;190;48;FALSE;FALSE;;TRUE;3;cintura;panico
26/03/2020 22:01;21;4;5;whatsapp;74;FALSE;TRUE;;TRUE;3;cintura;calmo
28/01/2023 22:43;8;3;2;190;14;FALSE;FALSE;;TRUE;1;tornozelo;nervoso
15/07/2022 12:32;5;2;6;instagram;68;FALSE;TRUE;;FALSE;3;tornozelo;nervoso
15/05/2021 02:12;0;2;3;instagram;30;TRUE;FALSE;;TRUE;1;tornozelo;nervoso
18/11/2023 12:39;37;2;6;190;76;TRUE;FALSE;;TRUE;5;teto;nervoso
12/03/2020 02:41;18;2;3;whatsapp;11;FALSE;FALSE;;TRUE;0;cintura;calmo
26/09/2024 22:51;45;3;2;190;81;FALSE;FALSE;;TRUE;0;cintura;panico
17/01/2021 21:31;23;2;9;190;5;FALSE;FALSE;;TRUE;4;teto;panico
13/09/2023 10:07;30;2;8;190;84;FALSE;FALSE;;TRUE;2;cintura;nervoso
28/06/2025 18:59;26;1;3;190;27;FALSE;FALSE;;TRUE;0;tornozelo;nervoso
16/05/2025 14:48;47;1;2;whatsapp;61;TRUE;FALSE;;TRUE;3;cintura;panico
14/08/2020 04:16;39;3;8;whatsapp;4;FALSE;FALSE;;TRUE;2;tornozelo;calmo
10/07/2024 20:01;48;1;8;190;59;TRUE;FALSE;;TRUE;4;teto;calmo
01/06/2024 05:45;32;4;3;190;53;FALSE;FALSE;;TRUE;1;tornozelo;nervoso
28/03/2022 02:50;19;2;7;whatsapp;79;FALSE;FALSE;;TRUE;3;tornozelo;panico
21/05/2021 02:57;31;2;7;whatsapp;103;FALSE;FALSE;;FALSE;2;tornozelo;calmo
15/02/2026 21:17;10;2;6;whatsapp;9;FALSE;FALSE;;TRUE;1;tornozelo;calmo
24/11/2025 12:26;23;1;8;instagram;0;FALSE;TRUE;;TRUE;2;tornozelo;nervoso
14/08/2025 10:43;13;4;7;whatsapp;28;TRUE;FALSE;;FALSE;4;tornozelo;panico
06/11/2020 22:59;38;2;5;190;20;TRUE;FALSE;;TRUE;4;teto;panico
06/10/2024 05:36;28;2;8;190;35;FALSE;FALSE;;TRUE;1;cintura;calmo
07/12/2020 23:56;38;1;5;190;107;FALSE;FALSE;;TRUE;3;teto;nervoso
05/03/2026 18:53;15;1;5;instagram;111;FALSE;FALSE;;TRUE;4;teto;panico
26/05/2020 17:50;0;5;4;whatsapp;50;FALSE;FALSE;;TRUE;2;tornozelo;panico
08/01/2023 12:10;29;2;5;instagram;101;FALSE;TRUE;;TRUE;3;cintura;panico
19/04/2026 20:38;16;3;6;whatsapp;64;FALSE;FALSE;;FALSE;0;teto;calmo
03/04/2021 22:45;42;2;5;whatsapp;96;FALSE;FALSE;;TRUE;3;teto;nervoso
08/01/2022 13:34;25;0;7;instagram;3;FALSE;FALSE;;TRUE;1;tornozelo;nervoso
16/07/2020 18:05;46;1;7;190;105;FALSE;FALSE;;TRUE;4;teto;nervoso
30/12/2023 06:59;43;2;4;whatsapp;54;TRUE;FALSE;;TRUE;3;teto;calmo
10/05/2023 18:49;14;3;5;190;48;FALSE;FALSE;;TRUE;4;teto;panico
07/07/2022 02:53;43;1;6;instagram;113;FALSE;FALSE;;FALSE;4;teto;nervoso
22/01/2022 03:48;4;2;3;instagram;25;FALSE;FALSE;;TRUE;1;cintura;panico
15/07/2024 21:23;1;2;4;instagram;53;FALSE;FALSE;;TRUE;0;teto;calmo
03/12/2024 04:13;1;3;2;190;106;FALSE;FALSE;;FALSE;3;tornozelo;panico
08/08/2021 12:44;11;2;2;whatsapp;90;FALSE;FALSE;;TRUE;3;teto;nervoso
16/05/2022 12:21;2;3;3;whatsapp;62;FALSE;FALSE;;TRUE;0;teto;calmo
11/09/2025 21:37;23;2;2;whatsapp;113;TRUE;FALSE;;TRUE;2;cintura;nervoso
25/08/2020 17:58;25;3;5;190;70;FALSE;FALSE;;TRUE;3;tornozelo;panico
04/01/2025 19:50;45;3;3;190;68;FALSE;FALSE;;TRUE;0;cintura;panico
17/08/2025 13:56;41;2;4;whatsapp;98;FALSE;FALSE;;TRUE;2;tornozelo;panico
02/01/2022 13:27;13;2;8;190;49;FALSE;FALSE;;TRUE;0;cintura;calmo
15/07/2023 19:37;35;4;2;whatsapp;34;FALSE;FALSE;;TRUE;0;teto;calmo
18/04/2021 02:08;15;2;2;whatsapp;35;FALSE;TRUE;;TRUE;2;cintura;panico
01/07/2022 10:11;12;5;6;190;71;FALSE;FALSE;;TRUE;3;cintura;nervoso
16/05/2020 23:19;40;3;9;whatsapp;47;FALSE;FALSE;;TRUE;5;teto;panico
06/12/2024 20:32;44;1;1;instagram;23;FALSE;FALSE;;FALSE;0;tornozelo;nervoso
26/03/2025 11:02;4;3;6;whatsapp;24;FALSE;FALSE;;TRUE;4;teto;nervoso
26/07/2020 00:58;13;3;2;whatsapp;14;FALSE;TRUE;;TRUE;3;cintura;panico
10/07/2025 18:57;35;0;9;instagram;112;FALSE;FALSE;;TRUE;3;tornozelo;panico
07/10/2023 09:08;43;3;2;instagram;40;TRUE;FALSE;;TRUE;4;teto;nervoso
20/02/2025 20:28;19;4;8;whatsapp;104;FALSE;FALSE;;TRUE;5;teto;calmo
15/06/2021 12:38;37;2;7;190;52;FALSE;FALSE;;TRUE;1;cintura;calmo
14/04/2026 21:31;27;1;7;whatsapp;44;FALSE;FALSE;;TRUE;3;teto;calmo
08/08/2024 14:39;23;3;5;instagram;66;FALSE;FALSE;;TRUE;0;teto;calmo
13/02/2024 10:36;34;2;8;whatsapp;101;FALSE;FALSE;;TRUE;0;cintura;nervoso
30/08/2022 09:17;39;3;7;190;83;TRUE;FALSE;;TRUE;5;tornozelo;panico
01/06/2024 23:24;48;1;8;instagram;58;FALSE;FALSE;;TRUE;1;cintura;nervoso
20/04/2021 06:11;18;2;2;190;101;FALSE;FALSE;;TRUE;1;cintura;nervoso
09/04/2023 21:37;21;3;7;whatsapp;1;FALSE;TRUE;;TRUE;3;cintura;nervoso
17/12/2023 11:08;26;3;5;whatsapp;55;FALSE;FALSE;;TRUE;0;cintura;panico
16/07/2024 04:47;25;3;2;instagram;41;FALSE;FALSE;;TRUE;2;tornozelo;panico
14/09/2020 04:29;30;3;3;instagram;111;FALSE;FALSE;;TRUE;2;cintura;calmo
27/01/2022 20:39;32;1;8;190;54;FALSE;FALSE;;TRUE;1;tornozelo;calmo
17/08/2022 21:39;46;2;8;whatsapp;53;FALSE;FALSE;;TRUE;1;cintura;calmo
08/03/2023 13:10;47;4;6;190;70;FALSE;FALSE;;TRUE;6;teto;panico
14/03/2024 23:08;21;2;6;whatsapp;30;FALSE;FALSE;;TRUE;4;teto;panico
25/01/2026 05:11;36;1;8;190;105;FALSE;FALSE;;FALSE;2;cintura;calmo
23/12/2023 04:24;44;3;5;whatsapp;55;FALSE;FALSE;;TRUE;4;teto;panico
30/12/2022 22:09;48;2;8;190;18;TRUE;FALSE;;TRUE;0;teto;nervoso
28/12/2024 15:03;2;1;9;instagram;27;FALSE;FALSE;;TRUE;1;tornozelo;nervoso
07/12/2020 07:48;12;3;6;whatsapp;86;FALSE;FALSE;;TRUE;3;tornozelo;calmo
19/11/2024 15:19;20;4;7;190;70;FALSE;FALSE;;TRUE;4;cintura;panico
17/04/2021 09:07;14;4;9;instagram;18;FALSE;TRUE;;TRUE;5;teto;calmo
01/10/2021 03:21;29;2;2;190;22;FALSE;FALSE;;TRUE;0;tornozelo;nervoso
14/02/2025 05:11;25;0;4;whatsapp;56;FALSE;FALSE;;TRUE;2;teto;nervoso
07/02/2024 22:24;24;3;3;instagram;69;TRUE;FALSE;;TRUE;4;cintura;panico
13/07/2021 11:10;1;4;7;whatsapp;9;FALSE;FALSE;;TRUE;2;tornozelo;calmo
01/09/2021 07:31;1;2;4;instagram;3;FALSE;FALSE;;FALSE;0;tornozelo;nervoso
07/01/2021 12:04;4;1;2;whatsapp;100;FALSE;FALSE;;TRUE;1;cintura;calmo
08/08/2021 02:04;8;2;7;instagram;61;FALSE;FALSE;;TRUE;2;cintura;nervoso
27/03/2024 10:33;9;2;6;whatsapp;43;FALSE;FALSE;;TRUE;0;teto;panico
29/03/2026 20:57;18;2;9;whatsapp;55;FALSE;FALSE;;FALSE;3;teto;calmo
27/07/2025 13:44;41;3;8;whatsapp;5;TRUE;FALSE;;TRUE;0;teto;nervoso
08/04/2022 18:27;16;3;7;190;3;FALSE;FALSE;;TRUE;2;tornozelo;calmo
07/01/2020 22:40;39;3;3;whatsapp;26;FALSE;FALSE;;TRUE;0;cintura;panico
14/11/2022 16:54;23;2;2;190;21;TRUE;FALSE;;TRUE;1;cintura;calmo
15/02/2026 08:47;48;4;9;whatsapp;25;FALSE;FALSE;;TRUE;3;tornozelo;panico
05/03/2020 01:24;1;1;1;instagram;59;TRUE;FALSE;;TRUE;1;tornozelo;nervoso
05/12/2021 00:17;30;3;8;190;118;FALSE;FALSE;;TRUE;3;cintura;nervoso
18/05/2021 11:06;22;3;1;190;100;FALSE;FALSE;;TRUE;2;tornozelo;calmo
30/07/2025 17:06;17;2;5;190;33;FALSE;FALSE;;TRUE;0;teto;nervoso
09/12/2022 20:26;39;2;3;190;109;FALSE;FALSE;;TRUE;1;cintura;nervoso
11/07/2024 04:41;30;3;6;whatsapp;4;FALSE;FALSE;;TRUE;4;teto;calmo
29/06/2021 16:35;9;3;8;190;22;FALSE;FALSE;;TRUE;2;tornozelo;nervoso
11/01/2020 20:36;12;3;8;instagram;86;FALSE;FALSE;;TRUE;4;tornozelo;panico
29/06/2024 20:50;25;3;6;190;76;FALSE;FALSE;;TRUE;3;cintura;calmo
01/05/2020 20:53;18;1;6;190;2;FALSE;TRUE;;TRUE;2;cintura;calmo
25/08/2024 15:44;29;3;9;190;111;FALSE;TRUE;;TRUE;6;teto;calmo
05/12/2025 17:16;8;5;2;whatsapp;13;FALSE;FALSE;;TRUE;3;teto;nervoso
11/02/2022 10:54;47;3;5;whatsapp;82;FALSE;FALSE;;TRUE;3;tornozelo;panico
28/07/2025 08:00;8;2;1;instagram;55;TRUE;FALSE;;TRUE;3;teto;nervoso
19/03/2023 19:39;18;2;6;190;88;FALSE;FALSE;;TRUE;2;cintura;calmo
22/09/2021 21:14;46;3;5;whatsapp;9;FALSE;FALSE;;TRUE;4;teto;panico
14/02/2024 10:04;43;3;1;whatsapp;110;FALSE;FALSE;;TRUE;4;teto;nervoso
15/11/2024 20:51;32;2;2;instagram;110;FALSE;FALSE;;TRUE;3;teto;calmo
30/04/2020 23:51;22;2;6;190;39;FALSE;FALSE;;TRUE;3;teto;nervoso
14/10/2023 18:17;27;3;2;instagram;19;FALSE;FALSE;;TRUE;3;teto;nervoso
05/04/2026 04:14;36;4;3;190;58;FALSE;FALSE;;TRUE;1;cintura;calmo
26/04/2020 05:50;3;3;9;190;28;TRUE;FALSE;;TRUE;3;tornozelo;calmo
19/03/2021 06:57;47;3;8;whatsapp;90;FALSE;FALSE;;TRUE;4;tornozelo;panico
22/03/2022 11:28;1;2;3;whatsapp;86;FALSE;FALSE;;TRUE;1;cintura;nervoso
29/10/2021 10:16;1;2;1;190;47;FALSE;FALSE;;TRUE;1;cintura;panico
03/03/2023 04:35;6;5;5;190;70;FALSE;FALSE;;TRUE;0;teto;panico
30/08/2024 00:11;23;4;8;instagram;59;FALSE;FALSE;;TRUE;2;tornozelo;calmo
30/06/2021 17:06;26;1;7;instagram;113;FALSE;FALSE;;TRUE;2;tornozelo;calmo
08/01/2023 15:38;24;3;7;190;78;FALSE;FALSE;;TRUE;6;teto;panico
24/03/2024 04:51;27;3;8;whatsapp;21;FALSE;FALSE;;TRUE;4;teto;nervoso
29/07/2024 15:06;39;1;8;whatsapp;65;FALSE;FALSE;;TRUE;0;tornozelo;nervoso
25/09/2024 23:35;20;2;5;190;52;TRUE;FALSE;;TRUE;3;teto;nervoso
01/07/2025 14:48;36;2;5;190;42;FALSE;FALSE;;FALSE;0;tornozelo;calmo
25/03/2022 04:28;24;3;9;instagram;70;TRUE;FALSE;;TRUE;5;tornozelo;panico
29/09/2020 08:00;41;2;7;190;86;FALSE;FALSE;;FALSE;5;teto;panico
25/12/2020 17:45;5;2;2;190;84;FALSE;FALSE;;TRUE;1;tornozelo;nervoso
08/06/2020 21:56;47;2;8;190;8;FALSE;FALSE;;TRUE;2;cintura;panico
11/03/2020 20:08;17;1;6;190;23;FALSE;FALSE;;TRUE;2;tornozelo;panico
28/02/2026 08:03;0;3;4;whatsapp;86;FALSE;FALSE;;TRUE;5;teto;panico
19/10/2025 21:51;34;3;6;190;24;FALSE;FALSE;;TRUE;5;teto;panico
06/11/2024 15:55;39;2;8;190;9;FALSE;FALSE;;TRUE;2;cintura;panico
04/03/2022 08:17;28;2;6;whatsapp;95;FALSE;FALSE;;TRUE;2;tornozelo;nervoso
05/09/2024 11:10;33;3;6;instagram;62;FALSE;FALSE;;TRUE;6;teto;panico
25/05/2023 06:11;30;3;3;instagram;35;FALSE;FALSE;;FALSE;1;tornozelo;calmo
18/09/2022 19:47;44;1;2;instagram;24;FALSE;FALSE;;TRUE;0;cintura;calmo
05/08/2021 01:59;30;3;7;instagram;56;FALSE;TRUE;;TRUE;3;tornozelo;calmo
18/03/2026 14:39;19;2;8;instagram;75;FALSE;FALSE;;TRUE;3;tornozelo;panico
24/05/2020 09:42;4;4;9;190;80;FALSE;FALSE;;TRUE;3;cintura;calmo
27/06/2022 22:53;40;3;8;whatsapp;30;FALSE;FALSE;;FALSE;2;tornozelo;calmo
18/03/2020 13:56;18;2;8;190;13;FALSE;FALSE;;FALSE;1;cintura;calmo
28/08/2020 15:48;25;3;4;whatsapp;67;TRUE;TRUE;;TRUE;4;tornozelo;calmo
13/08/2020 04:23;27;2;1;instagram;87;TRUE;FALSE;;FALSE;2;tornozelo;nervoso
08/02/2026 23:19;20;2;2;instagram;79;FALSE;FALSE;;TRUE;3;teto;calmo
23/02/2021 04:15;11;3;2;190;32;FALSE;FALSE;;TRUE;3;teto;nervoso
19/03/2020 10:48;12;2;5;190;100;TRUE;FALSE;;FALSE;2;tornozelo;calmo
17/02/2023 11:13;7;2;3;whatsapp;92;FALSE;FALSE;;FALSE;1;cintura;nervoso
29/07/2023 14:45;24;2;2;instagram;107;FALSE;FALSE;;TRUE;0;teto;panico
06/09/2022 22:36;19;1;3;190;20;TRUE;FALSE;;TRUE;1;tornozelo;calmo
24/07/2025 18:40;11;1;1;instagram;38;FALSE;FALSE;;FALSE;1;cintura;panico
20/12/2020 00:30;44;3;5;190;10;FALSE;FALSE;;TRUE;1;tornozelo;calmo
07/08/2022 01:41;16;1;5;instagram;42;FALSE;FALSE;;FALSE;2;teto;nervoso
09/12/2021 02:24;44;3;8;whatsapp;78;FALSE;FALSE;;FALSE;4;tornozelo;panico
09/04/2020 14:50;34;3;3;190;71;FALSE;FALSE;;TRUE;0;teto;panico
01/06/2024 03:41;17;3;5;instagram;55;FALSE;FALSE;;TRUE;1;tornozelo;calmo
24/09/2024 01:29;33;2;9;whatsapp;11;FALSE;FALSE;;TRUE;3;teto;calmo
04/12/2025 21:17;33;0;6;190;21;FALSE;FALSE;;TRUE;4;teto;panico
31/05/2024 06:04;40;3;9;instagram;108;TRUE;FALSE;;TRUE;6;teto;calmo
02/12/2023 11:05;18;1;2;instagram;38;FALSE;TRUE;;TRUE;3;teto;calmo
19/12/2025 09:17;15;4;9;whatsapp;7;FALSE;FALSE;;TRUE;3;cintura;panico
10/02/2021 15:51;24;4;8;190;103;FALSE;FALSE;;TRUE;5;teto;calmo
07/09/2022 10:16;6;3;3;whatsapp;8;FALSE;FALSE;;TRUE;3;teto;calmo
04/09/2023 02:50;25;1;6;whatsapp;106;FALSE;FALSE;;TRUE;2;cintura;calmo
20/02/2020 03:30;43;4;3;whatsapp;21;FALSE;FALSE;;TRUE;1;tornozelo;nervoso
30/04/2025 06:45;41;2;7;whatsapp;50;FALSE;FALSE;;TRUE;3;teto;nervoso
08/08/2025 03:24;26;2;4;190;86;TRUE;FALSE;;TRUE;4;teto;nervoso
01/10/2022 14:28;40;1;3;instagram;49;FALSE;FALSE;;TRUE;0;cintura;nervoso
01/12/2025 14:54;21;3;9;190;88;FALSE;TRUE;;TRUE;6;teto;nervoso
26/04/2021 19:07;4;1;8;whatsapp;33;FALSE;FALSE;;TRUE;0;tornozelo;panico
02/02/2025 06:50;39;3;5;190;30;TRUE;FALSE;;TRUE;3;cintura;panico
15/01/2023 00:18;2;3;8;whatsapp;110;FALSE;FALSE;;TRUE;3;tornozelo;nervoso
03/04/2020 05:20;14;3;7;190;62;FALSE;FALSE;;TRUE;4;cintura;panico
21/11/2020 15:50;24;2;5;instagram;77;TRUE;FALSE;;TRUE;2;cintura;calmo
12/04/2022 22:20;24;4;9;whatsapp;57;TRUE;FALSE;;TRUE;0;tornozelo;nervoso
02/02/2020 00:56;3;3;2;whatsapp;89;FALSE;FALSE;;TRUE;3;cintura;panico
01/06/2021 14:04;5;2;1;whatsapp;26;FALSE;FALSE;;TRUE;1;tornozelo;panico
09/07/2025 22:46;13;2;3;190;103;FALSE;FALSE;;TRUE;2;tornozelo;panico
20/12/2025 16:56;18;3;1;whatsapp;15;FALSE;FALSE;;TRUE;1;cintura;calmo
08/06/2024 02:24;22;3;3;instagram;54;FALSE;FALSE;;FALSE;4;teto;panico
09/04/2022 09:12;41;2;1;whatsapp;11;FALSE;FALSE;;TRUE;1;cintura;panico
